aktiv;mtid_vf;mtid_vb;mtid_parent;vannforsyningssystem;behandlingsanlegg;kommunenr;kommune;funksjon;kunstig_infiltrasjon;siling;filtrering_membran;desinfeksjon_membran;avsalting;koagulering;flokkulering;flotasjon;sedimentering;ionebytte;filtrering_ozon;desinfeksjon_ozon;uv_bestraaling;klorering;kloramin;desinfeksjon_annen;lufting;fjerning_jern_mangan;fjerning_uorg_stoff;ph_just_korrosjonkontroll;avherding;dosering_andre_kjemikalier;andre_behandlingsmetoder;periode
nei;Z1504171336424113199QHZBC;Z1504171342530483199MZIFA;Z1504171341283563199SZIAM;Maridalen Skole Vannforsyning;Behandlingsanlegg Maridalen Skole;0301;Oslo kommune;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;ja;nei;nei;
nei;Z1104081513143700151CFIEP;Z1504281312061803251YMQKF;Z1104081519035570151DHEWP;Hattebergsdalen Vasshandsamingsanlegg;Hattebergsdalen Vassbehandlingsanlegg;;;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;2015
nei;Z0705302301226251190SITNN;Z1503261243238313252MUQKW;Z0911262100433121126LYOJO;Vestre Vestbygd Vannverk V/ Lødingen Kommune;Dagens Renseanlegg;1851;Lødingen;Hovedanlegg;nei;ja;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;ja;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
nei;Z1505101827329603252BUBLG;Z1505101853120523252WBMQP;Z1505101842376703252SLUSG;Hølsjøen Vannverk;Behandlingsanlegg;;;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
ja;Z1310181328581673127DXFUX;Z1505271038542143188CAPFG;Z1310181339041553127RVNGL;Støa Vannverk - Vannforsyningssystem;Bacsan Labolo - Tilsetting Av Ag Og Cu Ioner;3203;Asker;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;2024
nei;Z1504161343336612025OAJQU;Z1506301431018380379LCNRC;Z1504161343337392025XLIRV;Vassforsyningssystem Tjørullkroa;Tjørrulkroa;;;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;ja;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
ja;Z0805072303389861190TWZIW;Z1505200815484583252GIXBV;Z0805072303389861190WJAHL;Båteng Vannverk;Uv- Anlegg;5628;Tana;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;ja;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;2022
ja;Z1505181002224623174IKYMC;Z1505181008381773174LBUBH;Z1505181006492443174DSRGM;Solheim Hyttetun Vannforsyning;Uv-Anlegg Mv;;;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;
nei;Z0709181415284250105XMJUV;Z1505200936520563251IXWYP;Z1002031307162990123FJIIY;Grøndalen Miljøanlegg Vannforsyning;Grøndalen Miljøanlegg As;;;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;2017
ja;Z1507101242137772024ERVVD;Z1507101242139592024FYCXT;Z1507101242138642024NQSWW;Krøderen Camping Vannforsyningssystem;Vannbehandlingsanlegg For Norefjell Camping As;3318;Krødsherad;Hovedanlegg;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;2017
