aktiv;orgform;fnr;fnavn;orgnr;virksomhet;virksomhet_kommunenr;virksomhet_kommune;vannforsyningssystem;mtid_vf;ir_orgform;vregnr;kommunenr;kommune;mtregion;mtavdeling;siste_insp;omraade;periode;vannprod;vannegetnett;vann_mottatt;max_vann_pers;max_vann_dogn;beredskap;beredsk_oppd;beredsk_ovelse;boliger;helseinst;skoler;nmindustri;hyttercamp;gardsbruk;fiskemottak;ant_fastboende;ant_personer_max;ant_husstander;ant_hytter;forbr_fast_bosetting;forbr_fritidsboliger;forbr_industri;forbr_tjytende;forbr_primnaering;forbr_annet;forbr_lekkasje
nei;;;;;Grimstad Vannverk;;;Grimstad Vannverk;Z1001271247210981017HUICR;;;;;ERROR [MAT_EJBOrgUnit];tilsynet;2011-02-28;Grimstad;2010;4500.0;4500.0;;;;ja;nei;nei;ja;nei;nei;nei;nei;ja;nei;60;;40;0;;;;;;;
nei;SA;992697830;Vines Vassverk Sa;930646733;Vines Vassverk;4618;Ullensvang;Vines Vassverk;Z1001281508023041010EGCUR;Privat AS, BA, lag, stiftelse, statlig etc;1231;4618;Ullensvang;ERROR [MAT_EJBOrgUnit];tilsynet;2010-03-22;Vines skule og bustader m.m. i nærleiken;2014;1100.0;1100.0;0.0;;;ja;ja;ja;ja;nei;ja;nei;nei;nei;nei;10;20;5;3;;;;;;;
ja;BA;996046877;Ness Vannverk;919517026;Ness Vannverk;1875;Hamarøy;Ness Vannverk;Z1002011040037541096IWUSE;Privat AS, BA, lag, stiftelse, statlig etc;184907;;;ERROR [MAT_EJBOrgUnit];tilsynet;2026-08-18;;2025;16201.0;16201.0;0.0;;;nei;nei;nei;ja;nei;nei;nei;ja;nei;nei;60;60;21;34;38.0;40.0;0.0;2.0;0.0;0.0;20.0
nei;ENK;869429422;Rolf Riksheim;977952301;Rolf Riksheim;1860;Vestvågøy;Øvre Valberg Vannverk;Z1002011125168721048FNRFX;;186016;;;ERROR [MAT_EJBOrgUnit];tilsynet;2011-01-26;;2011;732.0;732.0;;;;nei;nei;nei;ja;nei;nei;nei;ja;ja;nei;39;;33;0;;;;;;;
ja;AS;978616216;Berge Sag Hyttetomter As;997872509;Berge Sag Hyttetomter As;1160;Vindafjord;Botn Vest Hyttefelt V/ Berge Sag & Trelast;Z1002011128307850123DNCIV;Privat AS, BA, lag, stiftelse, statlig etc;83406;1160;Vindafjord;ERROR [MAT_EJBOrgUnit];tilsynet;2013-10-29;;2016;2385.0;2385.0;0.0;0.0;0.0;ja;nei;nei;nei;nei;nei;nei;nei;nei;nei;0;300;0;75;;;;;;;
nei;AS;941900399;Hallingdal Hytteservice As;972111252;Hallingdal Hytteservice As;3328;Ål;Bergsjø Høyfjellsleiligheter;Z1002020758450433251YYEHV;Privat AS, BA, lag, stiftelse, statlig etc;;3328;Ål;ERROR [MAT_EJBOrgUnit];tilsynet;2014-08-07;Bergsjø Høyfjellsleiligheter gnr. 91, bnr. 28;2014;1350.0;1350.0;;;;ja;nei;nei;ja;nei;nei;nei;nei;nei;nei;0;400;0;65;;;;;;;
nei;;;;;Skibrekke Vannforsyning;;;Skibrekke Vannforsyning;Z1002021053485681045TKCYH;Privat AS, BA, lag, stiftelse, statlig etc;70405;;;ERROR [MAT_EJBOrgUnit];tilsynet;2012-05-11;Jareteigen;2013;3200.0;3200.0;;;;ja;nei;nei;ja;nei;ja;nei;nei;nei;nei;75;150;30;0;95.0;;;;;;5.0
nei;;;;;Nordåsen Vel Hyttevannverk;;;Nordåsen Vel Hyttevannverk;Z1002021220154111045FEWMX;;71315;;;ERROR [MAT_EJBOrgUnit];tilsynet;2012-07-12;Flatåsen Sande;2012;360.0;360.0;;;;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;0;50;0;26;;;;;;;
nei;;;;;Indre Styrkesnes Vannverk;;;Indre Styrkesnes Vannverk;Z1002021918419590117KLBRV;Privat AS, BA, lag, stiftelse, statlig etc;184501;;;ERROR [MAT_EJBOrgUnit];tilsynet;2014-05-15;Styrkesnes;2014;4000.0;4000.0;0.0;;;;ja;nei;ja;nei;nei;ja;nei;ja;ja;83;83;40;26;70.0;25.0;5.0;;;;
nei;;;;;Ytre Kjelling Vannverk;;;Ytre Kjelling Vannverk;Z1002021939422040117NZVUT;;;;;ERROR [MAT_EJBOrgUnit];tilsynet;2011-10-31;Ytre Kjelling;2009;1102.0;1102.0;;;;;nei;nei;ja;nei;nei;nei;ja;ja;nei;9;;15;13;;;;;;;
nei;BEDR;;;974474123;De Utenkte Tankers Tårn U8 As;0412;Ringsaker - UTGÅTT KODE;Vannforsyning Til De Utenkte Tankers Tårn U8 As;Z1002030926431413252BRHMA;Privat AS, BA, lag, stiftelse, statlig etc;;3411;Ringsaker;ERROR [MAT_EJBOrgUnit];tilsynet;2011-12-06;Medlien gård 346/1 i Ringsaker;2015;20.0;20.0;0.0;;;ja;nei;nei;ja;nei;nei;ja;nei;ja;nei;6;70;3;0;;;;;;;
ja;SA;;;994657682;Solheim Vassverk Ysk Sa;4651;Stryn;Solheim Vassverk;Z1002030935041201037ILEIM;Privat AS, BA, lag, stiftelse, statlig etc;144916;4651;Stryn;ERROR [MAT_EJBOrgUnit];tilsynet;2024-02-28;Solheim;2025;16000.0;16000.0;0.0;100.0;365.0;ja;ja;nei;ja;nei;nei;nei;nei;ja;nei;121;137;36;1;48.0;0.5;0.0;0.5;49.0;0.0;2.0
nei;BEDR;;;993073628;Hamar Kommune Vannforsyning;3403;Hamar;Hamar Kommune, Vannforsyning/Ledningsnett;Z1002031020301261097UHZNO;Kommunal etat/enhet;40301;3403;Hamar;ERROR [MAT_EJBOrgUnit];tilsynet;2019-04-24;Hamar kommune;2020;0.0;3400449.0;3400449.0;27062.0;365.0;ja;ja;ja;ja;ja;ja;ja;ja;ja;nei;29928;29928;14816;63;44.0;1.0;5.0;5.0;4.0;10.0;31.0
nei;BEDR;;;978174825;Vea Torger;0412;Ringsaker - UTGÅTT KODE;Kjeldbakken Familiebarnehage;Z1002031104020831097HVTKP;;;3411;Ringsaker;ERROR [MAT_EJBOrgUnit];tilsynet;;;2011;300.0;300.0;0.0;;;nei;ja;nei;ja;nei;ja;nei;nei;nei;nei;;15;1;0;;;;;;;
nei;ENK;926192981;Linda Elisabeth Mehlum;973869485;Linda Elisabeth Mehlum;3122;Marker;Rakkestadvika Camping - Vannforsyningen;Z1002031412198531046GVUEM;Privat AS, BA, lag, stiftelse, statlig etc;;;;ERROR [MAT_EJBOrgUnit];tilsynet;2010-07-05;Rakkestadvika Camping;2013;50.0;50.0;;;;nei;ja;nei;ja;nei;nei;ja;ja;ja;nei;5;100;1;2;;;;;;;
ja;SA;;;994669311;Marhaug Vannverk Sa;1848;Steigen;Marhaug Vannverk;Z1002031652446051017NTBXX;Privat AS, BA, lag, stiftelse, statlig etc;184826;1848;Steigen;ERROR [MAT_EJBOrgUnit];tilsynet;2018-06-07;Botn/Marhaug/Simonstranda;2025;3000.0;17500.0;0.0;0.0;0.0;ja;nei;ja;ja;nei;nei;nei;nei;ja;nei;80;80;35;10;15.0;2.0;0.0;0.0;0.0;0.0;83.0
ja;SA;979276265;Eidshaug Vassverk Sa;893684182;Eidshaug Vassverk Sa;5060;Nærøysund;Eidshaug Vassverk Sa;Z1002041238135261040PIGTA;Privat AS, BA, lag, stiftelse, statlig etc;175109;;;ERROR [MAT_EJBOrgUnit];tilsynet;2019-04-09;Eidshaug;2025;8164.0;8164.0;0.0;0.0;0.0;ja;ja;nei;ja;nei;nei;nei;nei;nei;nei;70;100;30;18;90.0;3.0;0.0;2.0;0.0;2.0;3.0
nei;SA;976567439;Fresvik Vassverk Sa;876588072;Fresvik Vassverk Sa;4639;Vik;Fresvik Vassverk Sa;Z1002041311572013251QADJV;Privat AS, BA, lag, stiftelse, statlig etc;141703;4639;Vik;ERROR [MAT_EJBOrgUnit];tilsynet;2016-11-10;Fresvik;2016;88000.0;88000.0;0.0;;;ja;ja;nei;ja;ja;ja;ja;nei;ja;nei;85;100;33;23;50.0;13.0;6.0;4.0;14.0;10.0;3.0
nei;BEDR;;;993649287;Løen Vannverk Sa;1913;Skånland - UTGÅTT KODE;Løen Vannverk V/Ulla Opsahl;Z1002041356320091040YGTOK;Privat AS, BA, lag, stiftelse, statlig etc;191312;5512;Tjeldsund;ERROR [MAT_EJBOrgUnit];tilsynet;2015-11-20;Løen - Årsandmark;2014;9041.0;9041.0;0.0;;;nei;nei;nei;ja;nei;ja;ja;nei;nei;nei;130;220;49;18;63.0;30.0;3.0;;;2.0;2.0
ja;KOMM;964964343;Nissedal Kommune;974610108;Nissedal Kommune Teknisk Driftskontor;4030;Nissedal;Felle Vassverk;Z1002050943561240100UHVXC;Kommunal etat/enhet;83006;4030;Nissedal;ERROR [MAT_EJBOrgUnit];tilsynet;2022-11-17;Felle - Havrefjell;2025;8962.0;8962.0;0.0;100.0;365.0;ja;nei;nei;ja;nei;ja;nei;nei;ja;nei;85;500;44;220;40.0;50.0;0.0;0.0;0.0;5.0;5.0
nei;KOMM;964964343;Nissedal Kommune;974610108;Nissedal Kommune Teknisk Driftskontor;4030;Nissedal;Gamatun Vassverk;Z1002050948013760100PETKN;Kommunal etat/enhet;;4030;Nissedal;ERROR [MAT_EJBOrgUnit];tilsynet;2013-02-15;Hytteområder i Nissedal og ved behov i Drangedal;2014;17820.0;17820.0;0.0;;;ja;nei;nei;nei;nei;nei;ja;ja;nei;nei;0;600;0;150;;;;;;;
nei;KOMM;964964343;Nissedal Kommune;974610108;Nissedal Kommune Teknisk Driftskontor;4030;Nissedal;Nissedal Vassverk;Z1002050948508920100UPJHJ;Kommunal etat/enhet;83001;4030;Nissedal;ERROR [MAT_EJBOrgUnit];tilsynet;2018-08-09;Kyrkjebygda sentrum, Nordbygda og Hyttefelt mot grensen til Vrådal;2020;15266.0;15266.0;0.0;200.0;365.0;ja;nei;nei;ja;nei;ja;ja;ja;nei;nei;300;850;91;10;45.0;30.0;5.0;5.0;0.0;0.0;15.0
ja;KOMM;964964343;Nissedal Kommune;974610108;Nissedal Kommune Teknisk Driftskontor;4030;Nissedal;Treungen Vassverk;Z1002050948514230100KOHVV;Kommunal etat/enhet;83002;4030;Nissedal;ERROR [MAT_EJBOrgUnit];tilsynet;2026-03-23;Treungen, Gautefall, Nissedal og Kyrkjebygdheia ;2025;262348.0;263848.0;0.0;100.0;365.0;ja;nei;nei;ja;ja;ja;ja;ja;ja;nei;580;3500;290;690;25.0;50.0;5.0;10.0;0.0;5.0;5.0
ja;KOMM;964964343;Nissedal Kommune;974610108;Nissedal Kommune Teknisk Driftskontor;4030;Nissedal;Høgefoss Vassverk;Z1002050948519390100PQQIY;Kommunal etat/enhet;83005;4030;Nissedal;ERROR [MAT_EJBOrgUnit];tilsynet;2022-11-17;Høgefoss;2025;8.0;8.0;0.0;100.0;365.0;ja;nei;nei;ja;nei;nei;nei;ja;nei;nei;100;120;37;2;70.0;0.0;5.0;10.0;0.0;5.0;10.0
nei;BEDR;;;893711252;Straumen Vassverk Sa;1539;Rauma;Straumen Vassverk;Z1002051045557621096EBEYT;Privat AS, BA, lag, stiftelse, statlig etc;153912;;;ERROR [MAT_EJBOrgUnit];tilsynet;2012-09-12;Lerheim/Straume;2016;21000.0;21000.0;0.0;50.0;30.0;ja;nei;nei;ja;nei;nei;nei;ja;ja;nei;32;250;13;44;;;;;;;
nei;;;;;Storvik Vannverk;;;Storvik Vannverk;Z1002051241354790115GQIQV;;;;;ERROR [MAT_EJBOrgUnit];tilsynet;2010-05-19;Storvik;2009;7300.0;;;;;nei;nei;nei;ja;nei;nei;ja;nei;ja;nei;100;100;52;0;;;;;;;
nei;;;;;Mork Vasslag;;;Mork Vasslag;Z1002051721236793251FDYAS;Privat AS, BA, lag, stiftelse, statlig etc;151910;1577;Volda;ERROR [MAT_EJBOrgUnit];tilsynet;2015-02-17;Mork;2014;5200.0;5200.0;0.0;80.0;365.0;ja;nei;nei;ja;nei;nei;nei;nei;ja;nei;80;80;34;0;95.0;0.0;0.0;0.0;5.0;0.0;0.0
ja;SA;970554645;Petvik Og Ramsvik Vannverk Sa;994124781;Petvik Og Ramsvik Vannverk Sa;1860;Vestvågøy;Petvik Og Ramsvik Vannverk;Z1002051910350040122WQOPP;Privat AS, BA, lag, stiftelse, statlig etc;186009;1860;Vestvågøy;ERROR [MAT_EJBOrgUnit];tilsynet;2020-06-29;Petvik og Ramsvik;2024;9072.0;9072.0;0.0;0.0;0.0;ja;nei;ja;ja;nei;nei;nei;ja;ja;nei;96;100;57;12;90.0;9.0;0.0;0.0;1.0;0.0;0.0
nei;BEDR;;;995135930;Røyken Kommune Kommunalteknisk Enhet;0627;Røyken - UTGÅTT KODE;Røyken Kommunes Vannforsyningssystem;Z1002081017425013251MZTEU;Interkommunalt samarbeid m/ særregnskap;62705;3203;Asker;ERROR [MAT_EJBOrgUnit];tilsynet;2017-05-04;Røyken kommune;2016;0.0;2475261.0;2475261.0;20286.0;365.0;ja;ja;ja;ja;ja;ja;ja;ja;ja;nei;20286;20286;8247;445;38.0;0.0;0.0;0.0;0.0;7.4;54.6
nei;KOMM;964952701;Hemsedal Kommune;983794343;Teknisk Drift Vannverk Hemsedal Kommune;3326;Hemsedal;Krikken Vannverk;Z1002081052130110117ORNZP;Kommunal etat/enhet;61803;;;ERROR [MAT_EJBOrgUnit];tilsynet;2023-09-26;Hemsedal;2024;447957.0;447957.0;0.0;50.0;365.0;ja;ja;ja;ja;ja;ja;ja;ja;ja;nei;1285;9500;600;1200;32.0;30.0;1.0;5.0;1.0;1.0;30.0
nei;BEDR;;;815478282;Cuello As;3046;Krødsherad - UTGÅTT KODE;Ringnes Gård - Vannforsyningssystem;Z1002081112522381049HMKQP;;;;;ERROR [MAT_EJBOrgUnit];tilsynet;2011-11-04;Ringnes Gård;2011;200.0;200.0;0.0;;;;ja;ja;;;nei;;nei;;nei;0;72;1;0;;;;;;;
nei;KOMM;964952701;Hemsedal Kommune;983794343;Teknisk Drift Vannverk Hemsedal Kommune;3326;Hemsedal;Tuv Vannverk;Z1002081119128410117PCXOQ;Kommunal etat/enhet;61802;3326;Hemsedal;ERROR [MAT_EJBOrgUnit];tilsynet;2023-09-26;Tuv;2024;6063.0;14096.0;8033.0;100.0;365.0;ja;ja;ja;ja;nei;ja;ja;ja;ja;nei;100;580;48;5;76.0;5.0;0.0;15.0;2.0;1.0;1.0
nei;ENK;993497436;Andreas Fleischer;978437273;Thorrud Camping;3903;Holmestrand;Thorrud Camping Vannverk;Z1002081135310890136GCQRX;Privat AS, BA, lag, stiftelse, statlig etc;;;;ERROR [MAT_EJBOrgUnit];tilsynet;2018-06-27;Thorrud;2018;800.0;800.0;0.0;0.0;0.0;nei;nei;nei;ja;nei;nei;nei;ja;nei;nei;9;405;6;1;;;;;;;
nei;AS;978616216;Berge Sag Hyttetomter As;997872509;Berge Sag Hyttetomter As;1160;Vindafjord;Svandalen Vannverk;Z1002081143482420125KLHBY;;;1135;Sauda;ERROR [MAT_EJBOrgUnit];tilsynet;2010-06-22;;2009;1636.0;1636.0;0.0;;;;nei;nei;nei;nei;nei;nei;ja;nei;nei;0;200;0;100;;;;;;;
nei;SA;;;992293470;Gyltesø Vannverk Sa;0301;Oslo kommune;Gyltesø Vannverk;Z1002081409296580136PDNAC;Privat AS, BA, lag, stiftelse, statlig etc;71314;;;ERROR [MAT_EJBOrgUnit];tilsynet;2012-07-10;Gyltesø;2014;1000.0;1000.0;;;;nei;nei;nei;nei;nei;nei;nei;ja;nei;nei;0;150;0;77;;;;;;;
ja;SA;991610820;Kilane 1 Hyttefelt Sa;914435587;Kilane 1 Hyttefelt Sa;4212;Vegårshei;Kilane 1 Hyttefelt Sa Vannforsyningsanlegg;Z1002090902318621090RKCPT;Privat AS, BA, lag, stiftelse, statlig etc;91207;3909;Larvik;ERROR [MAT_EJBOrgUnit];tilsynet;2018-12-21;Vegårshei;2018;930.0;930.0;0.0;;;ja;ja;nei;nei;nei;nei;nei;nei;nei;nei;0;35;0;34;;;;;;;
nei;;;;;Hjelle Vassverk;;;Hjelle Vassverk;Z1002091057127061040FXNYE;;144919;;;ERROR [MAT_EJBOrgUnit];tilsynet;;Hjelle;2011;6000.0;6000.0;;;;ja;nei;ja;ja;nei;nei;ja;ja;ja;nei;43;95;34;18;;;;;;;
nei;AAFY;;;978646409;Stiftelsen Biri Attføringssenter;0412;Ringsaker - UTGÅTT KODE;Biri Treningssenter Avd Moelv - Vannforsyning;Z1002091436246953252ZMNBP;Privat AS, BA, lag, stiftelse, statlig etc;;3411;Ringsaker;ERROR [MAT_EJBOrgUnit];tilsynet;2014-05-21;Solbjør;2014;1761.0;1761.0;;;;ja;ja;nei;ja;ja;nei;nei;nei;nei;nei;25;25;2;0;;;;;;;
nei;BEDR;;;893672842;Torvik Vassverk Sa;1539;Rauma;Torvik Vassverk;Z1002101101119261094KWBIL;Privat AS, BA, lag, stiftelse, statlig etc;153907;;;ERROR [MAT_EJBOrgUnit];tilsynet;2014-12-01;;2013;9800.0;9800.0;;;;ja;nei;nei;ja;nei;nei;nei;ja;ja;nei;60;150;40;0;;;;;;;
nei;;;;;Verma;;;Verma;Z1002101115511401094HMVEC;;153908;;;ERROR [MAT_EJBOrgUnit];tilsynet;;;2011;4000.0;4000.0;;;;;nei;nei;;;;;;;;60;60;20;10;;;;;;;
nei;;;;;Tuft Og Omegn Vannverk;;;Tuft Og Omegn Vannverk;Z1002101326214381081IGPVC;Privat AS, BA, lag, stiftelse, statlig etc;71309;;;ERROR [MAT_EJBOrgUnit];tilsynet;2013-07-17;Tuft og omegn, Sande/Drammen;2013;8760.0;8760.0;;;;;ja;nei;ja;nei;nei;nei;nei;nei;nei;250;250;80;0;;;;;;;
ja;SA;970937811;Kilbotn Vannverk Sa;993673714;Kilbotn Vannverk Sa;5503;Harstad;Kilbotn Vannverk Sa;Z1002101338293701093MNZBV;Privat AS, BA, lag, stiftelse, statlig etc;190109;5503;Harstad;ERROR [MAT_EJBOrgUnit];tilsynet;2020-03-26;Kilbotn og deler av Oldra;2025;68818.0;68818.0;0.0;50.0;2.0;ja;nei;nei;ja;nei;ja;nei;nei;ja;nei;500;500;212;0;48.0;1.0;40.0;1.0;3.0;2.0;5.0
nei;KOMM;972417734;Saltdal Kommune;974625385;Saltdal Kommune Anleggstjenesten Drift/Vedlikehold Etc;1840;Saltdal;Nordnes Vannverk;Z1002101454230651017EIWXB;;184020;1840;Saltdal;ERROR [MAT_EJBOrgUnit];tilsynet;;Russånes og Nordnes;2010;15552.0;15552.0;31832.0;;;ja;nei;nei;ja;nei;nei;ja;ja;ja;nei;53;70;21;8;;;;;;;
ja;SA;980558355;Lofthus Vassverk Sa;993689416;Lofthus Vassverk Sa;4618;Ullensvang;Lofthus Vassverk Sa;Z1002101748517561085YCKUA;Privat AS, BA, lag, stiftelse, statlig etc;123107;4618;Ullensvang;ERROR [MAT_EJBOrgUnit];tilsynet;2013-06-18;Lofthus, Eidnes og Helleland;2025;0.0;0.0;0.0;;;ja;ja;ja;ja;nei;ja;ja;ja;ja;nei;150;250;74;13;10.0;5.0;10.0;0.0;70.0;0.0;5.0
nei;BEDR;;;981884108;Etat For Eiendom;1201;Bergen - UTGÅTT KODE;Unneland Barnehage Vannforsyningssystem;Z1002111055332961048RENCS;Kommunal etat/enhet;;;;ERROR [MAT_EJBOrgUnit];tilsynet;2011-03-09;Unneland barnehage;2013;900.0;900.0;0.0;;;nei;ja;ja;nei;nei;ja;nei;nei;ja;nei;0;30;1;0;;;;;;;
nei;BA;;;991883886;Drageid & Brenne Vannverk Ba;1840;Saltdal;Drageid Og Brenne Vannverk;Z1002111458546071029ZVBAS;;;;;ERROR [MAT_EJBOrgUnit];tilsynet;;Drageid og Brenne;2010;110.0;110.0;;;;;nei;nei;;;;;;;;50;50;20;0;;;;;;;
ja;SA;954802701;Fiksdal Vassverk Sa;994719637;Fiksdal Vassverk Sa;1535;Vestnes;Fiksdal Vannverk;Z1002111514291741027VQNQY;Privat AS, BA, lag, stiftelse, statlig etc;153504;1535;Vestnes;ERROR [MAT_EJBOrgUnit];tilsynet;2018-10-09;Fiksdal;2025;20400.0;20400.0;0.0;100.0;30.0;ja;nei;nei;ja;nei;ja;nei;nei;ja;nei;300;350;124;17;80.0;3.0;0.0;5.0;4.0;6.0;2.0
ja;KOMM;972418021;Fauske Kommune;978607926;Fauske Kommune Anleggstjenesten Vva;1841;Fauske;Sulitjelma Fjellandsby Vannverk;Z1002111606547481029ANUBT;Kommunal etat/enhet;184125;;;ERROR [MAT_EJBOrgUnit];tilsynet;2019-10-23;Sulitjelma Fjellandsby;2025;9377.0;9377.0;0.0;100.0;365.0;ja;nei;ja;nei;nei;nei;ja;ja;nei;nei;0;120;0;50;;;;;;;
nei;BEDR;;;979507372;Junkerdal Turistsenter;1804;Bodø;Junkerdal Turistsenter Vannverk;Z1002111643011071029TBFKR;Privat AS, BA, lag, stiftelse, statlig etc;;;;ERROR [MAT_EJBOrgUnit];tilsynet;2011-05-06;aa;2015;2700.0;2700.0;0.0;0.0;0.0;ja;nei;nei;nei;nei;nei;ja;ja;nei;nei;0;500;0;36;;;;;;;
nei;;;;;Kvitblikk Vannverk;;;Kvitblikk Vannverk;Z1002111736306071029MSIXZ;;;;;ERROR [MAT_EJBOrgUnit];tilsynet;2010-09-17;;2010;10000.0;10000.0;;;;nei;nei;nei;;;nei;;nei;;nei;110;110;50;0;;;;;;;
nei;;;;;Orevika Vannforsyning;;;Orevika Vannforsyning;Z1002112200451513251IROBH;;;3903;Holmestrand;ERROR [MAT_EJBOrgUnit];tilsynet;2011-03-22;Orevika;2010;2580.0;2580.0;;;;nei;nei;nei;ja;nei;nei;nei;nei;nei;nei;55;55;33;1;80.0;5.0;;;;;15.0
nei;IKS;871035032;Ivar Iks;974735423;Ivar Iks;1103;Stavanger;Oltedal Vannverk Ivar;Z1002120912229141043WNIUH;;;;;ERROR [MAT_EJBOrgUnit];tilsynet;2010-04-26;;2009;56873.0;0.0;;;;ja;ja;ja;;nei;;nei;;;;;;;;;;;;;;
nei;IKS;871035032;Ivar Iks;974735423;Ivar Iks;1103;Stavanger;Gilja Vannverk Ivar;Z1002120914324181043IEHHQ;;;;;ERROR [MAT_EJBOrgUnit];tilsynet;2010-06-14;;2009;48724.0;0.0;;;;ja;ja;ja;;;;;;;;;;;;;;;;;;
nei;KOMM;943505527;Deanu Gielda / Tana Kommune;978609120;Vann- Og Kloakkvesenet I Tana;5628;Tana;Alleknjarg Vannverk;Z1002121211538171011QZKHC;;;5628;Tana;ERROR [MAT_EJBOrgUnit];tilsynet;2010-01-26;Alleknjarg;2012;14600.0;14600.0;0.0;;;nei;nei;nei;ja;nei;nei;nei;nei;ja;nei;88;100;43;1;;;;;;;
nei;;;;;Indre Kjelling Vannverk;;;Indre Kjelling Vannverk;Z1002121618090701068GDYBX;;;;;ERROR [MAT_EJBOrgUnit];tilsynet;2010-10-11;Indre Kjelling;2010;2217.0;2217.0;;;;ja;nei;nei;ja;nei;nei;nei;nei;nei;;24;40;36;12;;;;;;;
nei;FLI;;;998666392;Strand Nordre Vel;3203;Asker;Strand Nordre Vel Vannverk;Z1002151145268701010CADJH;Privat AS, BA, lag, stiftelse, statlig etc;70602;;;ERROR [MAT_EJBOrgUnit];tilsynet;2019-07-09;Nordre Strand;2022;40.0;40.0;40.0;;;nei;nei;nei;nei;nei;nei;nei;nei;nei;nei;0;90;0;45;;;;;;;
nei;BEDR;;;973766015;Sande Kommune Vann- Og Kloakkvesenet;0713;Sande - UTGÅTT KODE;Sande Vannverk (Røysjø);Z1002151237336671010ACEWW;Kommunal etat/enhet;;;;ERROR [MAT_EJBOrgUnit];tilsynet;2014-10-24;;2013;0.0;323520.0;323520.0;;;ja;ja;ja;ja;;;;;;;1916;1923;740;0;70.0;;5.0;;5.0;10.0;10.0
nei;SA;970502270;Hodalen Vannverk Sa;994124560;Hodalen Vannverk Sa;3426;Tolga;Hodalen Vannverk;Z1002151249135491068QEJTU;Privat AS, BA, lag, stiftelse, statlig etc;43601;3426;Tolga;ERROR [MAT_EJBOrgUnit];tilsynet;2011-11-16;Hodalen;2013;52181.0;52181.0;;;;ja;ja;nei;ja;nei;nei;nei;ja;ja;nei;64;65;24;20;30.0;5.0;;;50.0;;15.0
ja;SA;;;992902620;Refsetvollen Vannverk Sa;5027;Midtre Gauldal;Refsetvollen Vannverk Sa;Z1002151315005391082HLRYJ;Privat AS, BA, lag, stiftelse, statlig etc;;;;ERROR [MAT_EJBOrgUnit];tilsynet;2015-05-28;Refsetvollen hyttefelt;2017;1000.0;1000.0;0.0;;;ja;nei;nei;ja;nei;nei;nei;nei;ja;nei;7;120;2;38;;;;;;;
nei;KOMM;922121893;Sogndal Kommune;876674572;Teknisk Drift Balestrand;4640;Sogndal;Balestrand Vassverk;Z1002151404407921070UNUTR;;;;;ERROR [MAT_EJBOrgUnit];tilsynet;;Balestrand;2009;230000.0;230000.0;0.0;;;ja;ja;nei;ja;ja;ja;ja;;ja;nei;;;;;;;;;;;
nei;;;;;Grov Vassverk;;;Grov Vassverk;Z1002151417177821084IHBQN;;;4651;Stryn;ERROR [MAT_EJBOrgUnit];tilsynet;;Grov i Hjelledalen;2010;7328.0;7328.0;;;;ja;nei;nei;ja;;nei;;ja;;nei;40;150;15;9;;;;;;;
ja;;;;;Mogrenda Vassverk;;;Mogrenda Vassverk;Z1002151443006051084WDERO;Kommunal etat/enhet;144308;4649;Stad;ERROR [MAT_EJBOrgUnit];tilsynet;2013-10-09;Mogrenda;2016;0.0;4500.0;4000.0;0.0;0.0;ja;nei;nei;ja;nei;nei;nei;nei;nei;nei;60;60;25;0;90.0;10.0;0.0;0.0;0.0;0.0;0.0
nei;;;;;Nedre Verlo Vassverk;;;Nedre Verlo Vassverk;Z1002151453575461084KCWVE;;144908;;;ERROR [MAT_EJBOrgUnit];tilsynet;;Utvik;2011;40000.0;40000.0;;;;ja;nei;nei;ja;nei;ja;ja;ja;ja;nei;200;200;72;2;80.0;5.0;;15.0;;;
ja;;;;;Osmundsvåg Vassverk;;;Osmundsvåg Vassverk;Z1002151506190041084DQBXW;Privat AS, BA, lag, stiftelse, statlig etc;143911;4602;Kinn;ERROR [MAT_EJBOrgUnit];tilsynet;2018-04-19;Osmundsvåg;2016;11000.0;11000.0;0.0;0.0;0.0;ja;nei;nei;ja;nei;nei;nei;nei;nei;nei;39;39;17;4;;;;;;;
nei;;;;;Jahren Vannverk;;;Jahren Vannverk;Z1002151520149161029EXYTI;;;;;ERROR [MAT_EJBOrgUnit];tilsynet;;;2010;5322.0;5322.0;0.0;;;;nei;nei;;;;;;;;65;;29;5;85.0;2.0;0.0;6.0;7.0;0.0;0.0
ja;SA;970549692;Sør-Heggdal Vassverk Sa;994364146;Sør-Heggdal Vassverk Sa;1506;Molde;Sør-Heggdal Vassverk Al;Z1002152018147183252RBDEN;Privat AS, BA, lag, stiftelse, statlig etc;154504;1506;Molde;ERROR [MAT_EJBOrgUnit];tilsynet;2012-03-08;Sør-Heggdal og Heggdalsvik;2025;6998.0;6998.0;0.0;100.0;365.0;ja;ja;ja;ja;nei;nei;nei;ja;nei;nei;80;120;32;18;75.0;20.0;5.0;0.0;0.0;0.0;0.0
ja;BA;970541713;Dalsøyra Vassverk;894124652;Dalsøyra Vassverk;4635;Gulen;Dalsøyra Vassverk, Gulafjordveien1529;Z1002160846210351041GFLQN;Privat AS, BA, lag, stiftelse, statlig etc;141103;4635;Gulen;ERROR [MAT_EJBOrgUnit];tilsynet;2013-08-23;dalsøyra;2025;29200.0;29200.0;0.0;100.0;3.0;ja;nei;nei;ja;ja;ja;nei;ja;ja;nei;200;200;91;15;50.0;30.0;10.0;5.0;5.0;0.0;0.0
