aktiv;orgform;fnr;fnavn;orgnr;virksomhet;virksomhet_kommunenr;virksomhet_kommune;vannforsyningssystem;mtid_vf;ir_orgform;vregnr;kommunenr;kommune;mtregion;mtavdeling;siste_insp;omraade;periode;vannprod;vannegetnett;vann_mottatt;max_vann_pers;max_vann_dogn;beredskap;beredsk_oppd;beredsk_ovelse;boliger;helseinst;skoler;nmindustri;hyttercamp;gardsbruk;fiskemottak;ant_fastboende;ant_personer_max;ant_husstander;ant_hytter;forbr_fast_bosetting;forbr_fritidsboliger;forbr_industri;forbr_tjytende;forbr_primnaering;forbr_annet;forbr_lekkasje
ja;SAM;871019452;Enodd Vassverk;914026180;Enodd Vassverk;5027;Midtre Gauldal;Enodd Vassverk;Z0704301335400571190QQJKN;Privat AS, BA, lag, stiftelse, statlig etc;164801;;;ERROR [MAT_EJBOrgUnit];tilsynet;2019-09-03;Enodd;2025;14500.0;14500.0;0.0;100.0;365.0;ja;nei;nei;ja;nei;ja;ja;nei;ja;nei;95;210;44;14;60.0;5.0;0.0;8.0;4.0;3.0;20.0
nei;AS;885832652;Ådneram Skitrekk As;874825972;Ådneram Skitrekk As;4228;Sirdal;Ådneram Skitrekk Vannforsyning;Z0704301335408241189KWDNG;Privat AS, BA, lag, stiftelse, statlig etc;;;;ERROR [MAT_EJBOrgUnit];tilsynet;2010-08-25;;2014;370.0;370.0;;;;;ja;nei;nei;nei;nei;ja;ja;nei;nei;0;100;0;0;;;;;;;
ja;FLI;975626938;Ørsdølen Båtforening;915171168;Ørsdølen Båtforening;1114;Bjerkreim;Lauperak Selskapslokale Vannforsyning;Z0704301335410231189CGWNF;Privat AS, BA, lag, stiftelse, statlig etc;;;;ERROR [MAT_EJBOrgUnit];tilsynet;2011-09-02;Lauperak;2021;0.0;0.0;0.0;0.0;0.0;nei;nei;nei;nei;nei;nei;ja;nei;nei;nei;0;60;0;0;;;;;;;
ja;FLI;;;987553782;Risvik Hytteforening;1124;Sola;Risvik Hyttegrend - Vannforsyning;Z0704301335411961189FPFYA;Privat AS, BA, lag, stiftelse, statlig etc;110105;1101;Eigersund;ERROR [MAT_EJBOrgUnit];tilsynet;;Risvik hyttegrend;2023;1487.0;1487.0;0.0;0.0;0.0;ja;nei;nei;nei;nei;nei;nei;ja;nei;nei;0;100;0;26;;;;;;;
ja;SA;870231032;Hessdalen Vassverk Sa;973331345;Hessdalen Vassverk Sa;5026;Holtålen;Hessdalen Vassverk Sa;Z0704301335411961190FENTJ;Privat AS, BA, lag, stiftelse, statlig etc;164404;;;ERROR [MAT_EJBOrgUnit];tilsynet;2023-11-13;Hessdalen;2025;28005.0;28005.0;0.0;0.0;0.0;ja;ja;ja;ja;nei;nei;ja;ja;ja;nei;120;320;66;52;30.0;20.0;0.0;0.0;30.0;0.0;20.0
ja;KOMM;940083672;Rennebu Kommune;976678265;Rennebu Kommune Teknisk Drift;5022;Rennebu;Berkåk Vannverk;Z0704301335420151190FAHYT;Kommunal etat/enhet;163501;5022;Rennebu;ERROR [MAT_EJBOrgUnit];tilsynet;2025-11-20;Berkåk sentrum;2025;96441.0;96441.0;0.0;0.0;0.0;ja;nei;ja;ja;ja;ja;ja;ja;ja;nei;1500;1500;535;12;67.0;5.0;15.0;5.0;5.0;0.0;3.0
ja;SA;970090398;Skjørdøla Vassverk Sa;994123386;Skjørdøla Vassverk Sa;5021;Oppdal;Skjørdøla Vannverk;Z0704301335423721190TSUMC;Privat AS, BA, lag, stiftelse, statlig etc;163403;5021;Oppdal;ERROR [MAT_EJBOrgUnit];tilsynet;2018-09-04;Skjørdøla;2025;35040.0;35040.0;0.0;100.0;365.0;ja;ja;ja;ja;nei;nei;nei;ja;ja;nei;450;640;152;60;50.0;20.0;0.0;0.0;25.0;0.0;5.0
ja;KOMM;940083672;Rennebu Kommune;976678265;Rennebu Kommune Teknisk Drift;5022;Rennebu;Havdal Vannverk;Z0704301335425191190LOBFW;Kommunal etat/enhet;163506;5022;Rennebu;ERROR [MAT_EJBOrgUnit];tilsynet;2023-05-10;Havdal;2025;2020.0;2020.0;28.0;0.0;0.0;ja;nei;ja;ja;nei;nei;nei;ja;ja;nei;49;49;13;3;;;;;;;
ja;IKS;971034637;Glitrevannverket Iks;979079265;Glitrevannverket Iks;3301;Drammen;Glitrevannverket Iks - Sylling (Holsfjorden);Z0704301335429141189LFCVP;Interkommunalt selskap (IKS);62608;;;ERROR [MAT_EJBOrgUnit];tilsynet;2025-10-15;Deler av Lier  (Sylling og Tronstad);2025;129635.0;0.0;0.0;0.0;;ja;ja;ja;ja;ja;ja;ja;nei;ja;nei;1510;1550;0;0;0.0;0.0;0.0;0.0;0.0;90.0;10.0
ja;SA;924200308;Svorunda Vannverk Sa;996578100;Svorunda Vannverk Sa;5021;Oppdal;Svorunda Vannverk Sa;Z0704301335432201190CWPLJ;Privat AS, BA, lag, stiftelse, statlig etc;163408;5021;Oppdal;ERROR [MAT_EJBOrgUnit];tilsynet;2018-10-08;Svorunda;2025;131400.0;133221.0;23935.0;50.0;365.0;ja;ja;ja;ja;nei;nei;ja;ja;ja;nei;250;630;90;190;10.0;35.0;0.0;20.0;30.0;0.0;5.0
